type,formal,informal
exact,می‌داند,می‌دونه
exact,می‌دانیم,می‌دونیم
exact,می‌دانید,می‌دونین
exact,می‌دانند,می‌دونن
regex,\bمی‌خواهم\b,می‌خوام
regex,\bمی‌خواهی\b,می‌خوای
regex,\bمی‌خواهد\b,می‌خواد
regex,\bمی‌خواهیم\b,می‌خوایم
regex,\bمی‌خواهید\b,می‌خواین
regex,\bمی‌خواهند\b,می‌خوان
exact,دوست دارم,حال می‌کنم
exact,دوست داری,حال می‌کنی
exact,دوست دارد,حال می‌کنه
exact,دوست داریم,حال می‌کنیم
exact,دوست دارید,حال می‌کنین
exact,دوست دارند,حال می‌کنن
exact,لطفاً,لطفا
exact,خیلی ممنون,مرسی
exact,ممنونم,مرسی
exact,سپاسگزارم,مرسی
regex,\bباشد\b,باشه
regex,\bباشید\b,باشین
regex,\bباشم\b,باشم
regex,\bباشی\b,باشی
regex,\bباشیم\b,باشیم
regex,\bباشند\b,باشن
regex,\bنباشد\b,نباشه
regex,\bنباشید\b,نباشین
regex,\bنباشم\b,نباشم
regex,\bنباشی\b,نباشی
regex,\bنباشیم\b,نباشیم
regex,\bنباشند\b,نباشن
exact,خواهیم رفت,می‌خوایم بریم
exact,خواهید رفت,می‌خواین برین
exact,خواهند رفت,می‌خوان برن
exact,دوست دارم که بیایی,دوست دارم بیای
exact,نمی‌خواهم بروم,نمی‌خوام برم
exact,دوست داری بیایی,دوست داری بیای
exact,نمی‌خواهم بخورم,نمی‌خوام بخورم
exact,می‌خواهم بخورم,می‌خوام بخورم
regex,\bمی‌روم\b,میرم
regex,\bمی‌روی\b,میری
regex,\bمی‌رود\b,میره
regex,\bمی‌رویم\b,میریم
regex,\bمی‌روید\b,میرین
regex,\bمی‌روند\b,میرن
exact,من رفتم,من رفتم
exact,تو رفتی,تو رفتی
exact,او رفت,اون رفت
exact,ما رفتیم,ما رفتیم
exact,شما رفتید,شما رفتین
exact,آنها رفتند,اونها رفتن
regex,\bدارم\b,دارم
regex,\bداری\b,داری
regex,\bدارد\b,داره
regex,\bداریم\b,داریم
regex,\bدارید\b,دارین
regex,\bدارند\b,دارَن
exact,امروز شب است,امشب است
exact,فردا شب است,فردا شبه
exact,دیروز شب بود,دیشب بود
exact,او نمی‌آید,اون نمیاد
exact,من نمی‌آیم,من نمیام
exact,ما نمی‌آییم,ما نمیایم
exact,تو نمی‌آیی,تو نمیای
exact,شما نمی‌آیید,شما نمیاین
exact,آنها نمی‌آیند,اونها نمیان
regex,\bنمی خواهم\b,نمی‌خوام
regex,\bنمی خواهی\b,نمی‌خوای
regex,\bنمی خواهد\b,نمی‌خواد
regex,\bنمی خواهیم\b,نمی‌خوایم
regex,\bنمی خواهید\b,نمی‌خواین
regex,\bنمی خواهند\b,نمی‌خوان
exact,خواهی دید,می‌خوای ببینی
exact,خواهم دید,می‌خوام ببینم
exact,خواهد دید,می‌خواد ببینه
exact,خواهیم دید,می‌خوایم ببینیم
exact,خواهید دید,می‌خواین ببینین
exact,خواهند دید,می‌خوان ببینن
regex,\bمی دانم\b,می‌دونم
regex,\bمی دانی\b,می‌دونی
regex,\bمی داند\b,می‌دونه
regex,\bمی دانیم\b,می‌دونیم
regex,\bمی دانید\b,می‌دونین
regex,\bمی دانند\b,می‌دونن
exact,چگونه است,چطوره
exact,کجا هستی,کجایی
exact,کجا می روی,کجا میری
exact,چه کاری انجام می‌دهی,چیکار می‌کنی
exact,چرا نمی‌آیی,چرا نمیای
exact,کی می‌آید,کی میاد
exact,چه کسی است,کیه
exact,من نمی‌دانم,نمی‌دونم
exact,تو نمی‌دانی,نمی‌دونی
exact,او نمی‌داند,نمی‌دونه
exact,ما نمی‌دانیم,نمی‌دونیم
exact,شما نمی‌دانید,نمی‌دونین
exact,آنها نمی‌دانند,نمی‌دونن
exact,بسیار زیباست,خیلی قشنگه
exact,خیلی ممنونم,مرسی زیاد
exact,لطفاً بیا,لطفا بیا
exact,من می‌خواهم بروم,می‌خوام برم
exact,تو می‌خواهی بروی,می‌خوای بری
exact,او می‌خواهد برود,می‌خواد بره
exact,ما می‌خواهیم برویم,می‌خوایم بریم
exact,شما می‌خواهید بروید,می‌خواین برین
exact,آنها می‌خواهند بروند,می‌خوان برن
regex,\bمی‌آیم\b,میام
regex,\bمی‌آیی\b,میای
regex,\bمی‌آید\b,میاد
regex,\bمی‌آییم\b,میایم
regex,\bمی‌آیید\b,میاین
regex,\bمی‌آیند\b,میان
exact,من نمی‌توانم بیایم,نمی‌تونم بیام
exact,تو نمی‌توانی بیایی,نمی‌تونی بیای
exact,او نمی‌تواند بیاید,نمی‌تونه بیاد
exact,ما نمی‌توانیم بیاییم,نمی‌تونیم بیایم
exact,شما نمی‌توانید بیایید,نمی‌تونین بیاین
exact,آنها نمی‌توانند بیایند,نمی‌تونن بیان
exact,چه خبر است,چه خبره
exact,کجا می‌روی,کجا میری
exact,کجا می‌روید,کجا میرین
exact,کجا می‌روند,کجا میرَن
exact,چی کار می‌کنی,چیکار می‌کنی
exact,چی کار می‌کنید,چیکار می‌کنین
exact,چی کار می‌کنند,چیکار می‌کنن
regex,\bمی خواهم\b,می‌خوام
regex,\bمی خواهی\b,می‌خوای
regex,\bمی خواهد\b,می‌خواد
regex,\bمی خواهیم\b,می‌خوایم
regex,\bمی خواهید\b,می‌خواین
regex,\bمی خواهند\b,می‌خوان
exact,لطفاً به من کمک کن,لطفا کمک کن
exact,خیلی ممنون بابت کمکت,مرسی بابت کمکت
exact,من خیلی خوشحالم,خیلی خوشحالم
exact,تو خیلی خوب هستی,تو خیلی خوبی
exact,او خیلی باهوش است,اون خیلی باهوشه
exact,ما باید برویم,باید بریم
exact,شما باید بیایید,باید بیاین
exact,آنها باید بروند,باید برن
exact,من نمی‌خواهم بروم,نمی‌خوام برم
exact,تو نمی‌خواهی بیایی,نمی‌خوای بیای
exact,او نمی‌خواهد برود,نمی‌خواد بره
exact,ما نمی‌خواهیم برویم,نمی‌خوایم بریم
exact,شما نمی‌خواهید بیایید,نمی‌خواین بیاین
exact,آنها نمی‌خواهند بروند,نمی‌خوان برن
exact,این کار را انجام بده,این کارو بکن
exact,آن را نیاور,اون رو نیار
exact,من دارم می‌روم,من دارم میرم
exact,تو داری می‌آیی,تو داری میای
exact,او دارد می‌خورد,اون داره می‌خوره
exact,ما داریم کار می‌کنیم,ما داریم کار می‌کنیم
exact,شما دارید می‌خوابید,شما داری می‌خوابین
exact,آنها دارند می‌خوان,اونها دارن می‌خونن
exact,من نمی‌خواهم اینجا بمانم,نمی‌خوام اینجا بمونم
exact,تو نمی‌خواهی بخوابی,نمی‌خوای بخوابی
exact,او نمی‌خواهد بخورد,نمی‌خواد بخوره
exact,ما نمی‌خواهیم برویم,نمی‌خوایم بریم
exact,شما نمی‌خواهید بیایید,نمی‌خواین بیاین
exact,آنها نمی‌خواهند بمانند,نمی‌خوان بمونن
regex,\bمی‌خوام\b,می‌خوام
regex,\bمی‌خوای\b,می‌خوای
regex,\bمی‌خواد\b,می‌خواد
regex,\bمی‌خوایم\b,می‌خوایم
regex,\bمی‌خواین\b,می‌خواین
regex,\bمی‌خوان\b,می‌خوان
exact,این خیلی خوب است,این خیلی خوبه
exact,آن خیلی بد است,اون خیلی بده
exact,من خیلی گرسنه هستم,خیلی گرسنم
exact,تو خیلی خسته‌ای,خیلی خسته‌ای
exact,او خیلی زیبا است,اون خیلی خوشگله
exact,ما خیلی خوشحالیم,خیلی خوشحالیم
exact,شما خیلی باهوش هستید,خیلی باهوشین
exact,آنها خیلی مهربانند,خیلی مهربونن
exact,من دارم می‌روم خانه,دارم میرم خونه
exact,تو داری می‌آیی مدرسه,داری میای مدرسه
exact,او دارد می‌خورد غذا,داره می‌خوره غذا
exact,ما داریم کار می‌کنیم روی پروژه,داریم کار می‌کنیم رو پروژه
exact,شما دارید می‌خوانید کتاب,دارین می‌خونین کتاب
exact,آنها دارند بازی می‌کنند,دارَن بازی می‌کنن
exact,من نمی‌خواهم بخوابم,نمی‌خوام بخوابم
exact,تو نمی‌خواهی بخوری,نمی‌خوای بخوری
exact,او نمی‌خواهد بیاید,نمی‌خواد بیاد
exact,ما نمی‌خواهیم بمانیم,نمی‌خوایم بمونیم
exact,شما نمی‌خواهید بروید,نمی‌خواین برید
exact,آنها نمی‌خواهند کار کنند,نمی‌خوان کار کنن
exact,چرا دیر آمدی,چرا دیر اومدی
exact,چه کاری انجام دادی,چیکار کردی
exact,کجا رفتی,کجا رفتی
exact,چه کسی آمد,کی اومد
exact,چه زمانی می‌روی,کی میری
exact,چگونه این کار را کردی,چجوری این کارو کردی
exact,من این را نمی‌دانم,من اینو نمی‌دونم
exact,تو این را نمی‌دانی,تو اینو نمی‌دونی
exact,او این را نمی‌داند,اون اینو نمی‌دونه
exact,ما این را نمی‌دانیم,ما اینو نمی‌دونیم
exact,شما این را نمی‌دانید,شما اینو نمی‌دونین
exact,آنها این را نمی‌دانند,اونها اینو نمی‌دونن
exact,باید این کار را بکنم,باید این کارو بکنم
exact,نباید این کار را بکنی,نباید این کارو بکنی
exact,باید به مدرسه بروم,باید برم مدرسه
exact,نباید دیر بیایی,نباید دیر بیای
exact,من الان می‌روم,الان میرم
exact,تو همین الان می‌آیی,همین الان میای
exact,او به خانه رفت,اون رفت خونه
exact,ما به مدرسه می‌رویم,ما میریم مدرسه
exact,شما به مهمانی می‌روید,شما میرین مهمونی
exact,آنها به بازار می‌روند,اونها میرن بازار
exact,من خیلی دوست دارم,خیلی دوست دارم
exact,تو خیلی خوبی,خیلی خوبی
exact,او خیلی مهربان است,اون خیلی مهربونه
exact,ما خیلی خسته‌ایم,خیلی خسته‌ایم
exact,شما خیلی باهوش هستید,خیلی باهوشین
exact,آنها خیلی زود آمدند,خیلی زود اومدن
regex,\bنمی‌روم\b,نمی‌رم
regex,\bنمی‌آیی\b,نمیای
regex,\bنمی‌خواهد\b,نمی‌خواد
regex,\bنمی‌خواهیم\b,نمی‌خوایم
regex,\bنمی‌خواهید\b,نمی‌خواین
regex,\bنمی‌خواهند\b,نمی‌خوان
exact,این خیلی ساده است,این خیلی ساده‌ست
exact,آن خیلی سخت است,اون خیلی سخته
exact,من خیلی خوشحالم,خیلی خوشحالم
exact,تو خیلی ناراحتی,خیلی ناراحتی
exact,او خیلی شاد است,اون خیلی شاده
exact,ما خیلی خوشحالیم,خیلی خوشحالیم
exact,شما خیلی مهربانید,خیلی مهربونین
exact,آنها خیلی باهوشند,خیلی باهوشن
