formal,informal
این موضوع تکراری است,این قبلاً بوده
باید بیشتر فکر کنیم,باید بیشتر فکر کنیم
اطلاعات کافی ندارم,زیاد نمی‌دونم
ممکن است اشتباه کرده باشم,شاید اشتباه کردم
نیاز به زمان داریم,وقت می‌خوایم
فعلاً بی‌خیال شو,فعلاً ولش کن
در اولین فرصت اطلاع می‌دهم,زود خبر می‌دم
نمی‌توانم پاسخ بدهم,جوابش رو ندارم
به این موضوع توجه نکردم,حواسم نبود
این کار اولویت ندارد,الویت نیست
الان مناسب نیست,وقت خوبی نیست
اجازه بده فکر کنم,بذار فکر کنم
سؤال سختی است,سخته جواب بدم
امکان انجامش نیست,نمی‌شه انجامش داد
در حال حاضر نمی‌دانم,الان نمی‌دونم
به زودی بررسی می‌شود,زود نگاه می‌کنیم
ممکن است طول بکشد,شاید طول بکشه
پاسخ مشخص نیست,جواب معلوم نیست
در حال حاضر قابل انجام نیست,فعلاً نمی‌شه
دقیقاً متوجه نشدم,دقیقاً نفهمیدم
باید منتظر بمانیم,باید صبر کنیم
وقت کافی نداریم,وقت کمه
تلاش خود را می‌کنم,سعیمو می‌کنم
همه چیز به‌زودی مشخص می‌شود,زود معلوم می‌شه
تا اطلاع ثانوی,تا بعد
الان در دسترس نیست,الان نیست
احتمالاً نیاز داریم تغییر بدهیم,شاید مجبور بشیم عوضش کنیم
نیاز به بررسی بیشتر داریم,باید بیشتر بررسی کنیم
فعلاً نمی‌توانم قول بدهم,قول نمی‌دم
شاید راه بهتری باشد,شاید راه بهتری هست
اجازه بدهید هماهنگ کنم,بذار هماهنگ کنم
در حال حاضر مهم نیست,الان مهم نیست
همه چیز مبهم است,همه چی گنگه
لطفاً پیگیری کنید,دنبال کن
ممکن است تأخیر داشته باشیم,شاید دیر کنیم
اجازه بده بعداً پاسخ بدهم,بعداً می‌گم
زمان بیشتری نیاز دارم,بیشتر وقت می‌خوام
فعلاً نمی‌شود تصمیم گرفت,الان نمی‌شه تصمیم گرفت
منتظرم ببینم چه می‌شود,صبر می‌کنم ببینم چی می‌شه
اجازه بده با تیم صحبت کنم,بذار با تیم حرف بزنم
شاید بهتر باشد فعلاً صبر کنیم,فعلاً بهتره صبر کنیم
من هم همینطور فکر می‌کنم,منم همین فکرو می‌کنم
این کار ریسک دارد,ریسک داره
الان موقعیتش نیست,الان وقتش نیست
باید بیشتر تحلیل کنیم,باید بیشتر بررسی کنیم
فکر می‌کنم جواب منفی است,فکر کنم جوابش نه‌ست
اجازه بده کامل بشه,بذار کامل شه
از نتیجه مطمئن نیستم,نتیجه‌اش معلوم نیست
به‌زودی اقدام می‌کنم,زود انجام می‌دم
باید صبر داشته باشیم,باید صبر کنیم
درحال حاضر لازم نیست,الان نیازی نیست
هنوز زوده برای تصمیم‌گیری,هنوز زوده
به موقع انجام می‌شود,سر وقت انجام می‌شه
باید بیشتر داده داشته باشیم,باید اطلاعات بیشتر داشته باشیم
شاید درست متوجه نشدم,شاید اشتباه برداشت کردم
بذار ببینم چی می‌شه,صبر کن ببینیم
ممکنه اشتباه برداشت کرده باشیم,شاید اشتباه فهمیدیم
همچنان منتظریم,هنوز منتظریم
الان نمی‌تونم تضمین کنم,قول نمی‌دم
بی‌اطلاع هستم,نمی‌دونم
تغییرات ممکنه نیاز باشه,شاید باید تغییر بدیم
باید بازنگری کنیم,باید بازبینی کنیم
خودم پیگیری می‌کنم,خودم دنبال می‌کنم
الان وقتش نیست,الان زمانش نیست
پیشنهاد خوبی نیست,پیشنهاد خوبی نیست
ممنون از صبرتون,مرسی که صبر کردی
شاید بهتر باشه صبر کنیم,شاید صبر کنیم بهتره
تا جایی که اطلاع دارم,تا اونجایی که می‌دونم
به پایان رسید,تموم شد
نیازمند بازبینی است,باید دوباره بررسی شه
موضوع پیچیده‌ای است,سخته
در حال بررسی هستیم,داریم نگاه می‌کنیم
به زودی اعلام خواهد شد,زود می‌گیم
منتظر تأیید هستیم,صبر می‌کنیم برای تأیید
در حال انجام است,در حال انجامه
فرصتی برای اصلاح وجود دارد,می‌تونیم درستش کنیم
باید دوباره امتحان کنید,دوباره امتحان کن
احتمالاً مشکلی پیش آمده,شاید مشکلی پیش اومده
اطلاع‌رسانی خواهد شد,خبر می‌دیم
در دستور کار قرار دارد,توی برنامه‌ست
به روزرسانی انجام خواهد شد,آپدیت می‌شه
نظرتان چیست؟,نظرت چیه؟
منبع آن مشخص نیست,نمی‌دونیم از کجاست
راهکارهای مختلفی وجود دارد,چندتا راه هست
در آینده نزدیک انجام خواهد شد,زودی انجامش می‌دیم
شواهد کافی نداریم,مدرک نداریم
منتظر پاسخ هستیم,منتظریم جواب بدن
در حال حاضر اقدامی صورت نگرفته,فعلاً کاری نشده
هماهنگی لازم انجام نشده,هماهنگ نکردیم هنوز
در برنامه قرار دارد,توی برنامه‌ست
در آینده بررسی می‌شود,بعداً بررسی می‌کنیم
فعلاً نیاز به تغییر نیست,فعلاً همینه خوبه
ممکن است تغییر کند,شاید عوض شه
در صورتی که نیاز باشد,اگه لازم شد
فعلاً در اولویت نیست,الان مهم نیست
موضوع در حال پیگیری است,داریم پیگیری می‌کنیم
سؤال خوبی است,سؤال خوبیه
منتظر نتیجه نهایی هستیم,صبر می‌کنیم برای نتیجه
در دست بررسی است,داریم نگاه می‌کنیم
نیاز به تصمیم‌گیری دارد,باید براش تصمیم بگیریم
هنوز تصمیمی گرفته نشده,فعلاً تصمیمی نیست
در حال جمع‌آوری اطلاعات هستیم,داریم اطلاعات جمع می‌کنیم
این مورد باید بررسی شود,باید چک شه
باید با تیم مشورت کنیم,باید با بچه‌ها صحبت کنیم
فعلاً اجرا نشده است,فعلاً انجامش ندادیم
به زمان بیشتری نیاز داریم,بیشتر وقت می‌خوایم
در صورت تغییر اطلاع داده می‌شود,اگه عوض شد می‌گیم
فعلاً تغییری ایجاد نشده,فعلاً همون قبلیه
پیگیری خواهد شد,پیگیری می‌کنیم
باید با مدیر هماهنگ شود,باید با مدیر صحبت کنیم
باید مستند شود,باید ثبتش کنیم
فعلاً امکان‌پذیر نیست,الان نمی‌شه
توضیح بیشتری نیاز است,بیشتر توضیح بده
پاسخ در دست تهیه است,داریم جواب آماده می‌کنیم
در زمان مناسب اعلام می‌شود,سر وقت خبر می‌دیم
فرآیند زمان‌بر است,یه کم طول می‌کشه
در حال رفع مشکل هستیم,داریم مشکل رو درست می‌کنیم
این مورد جدید است,جدیده
پیشنهاد شما بررسی می‌شود,پیشنهادتو بررسی می‌کنیم
فعلاً اطلاعات ناقص است,الان اطلاعاتمون کامل نیست
تغییراتی اعمال خواهد شد,چندتا چیز عوض می‌شه
نیاز به بررسی دقیق‌تری داریم,باید دقیق‌تر نگاه کنیم
این مورد اولویت ندارد,فعلاً مهم نیست
در حال آماده‌سازی است,داریم آماده می‌کنیم
شاید راه حل بهتری باشد,شاید راه بهتری هست
در صورت امکان انجام می‌شود,اگه بشه انجام می‌دیم
فعلاً در دسترس نیست,فعلاً نداری
موضوع جدیدی مطرح شده,یه چیز جدید اومده
در حال بررسی منابع هستیم,داریم منبع می‌گردیم
فعلاً تأیید نشده است,هنوز تأیید نشده
در مرحله بررسی اولیه هستیم,تازه شروع کردیم بررسی
به زودی اعلام می‌شود,زود می‌فهمی
پیشنهاد خوبی است,پیشنهاد خوبیه
باید پیگیری بیشتری شود,باید بیشتر دنبالش کنیم
تأیید نهایی هنوز دریافت نشده,تأیید نهایی نیومده
باید زمان‌بندی شود,باید زمان مشخص کنیم
در حال توسعه هستیم,داریم گسترشش می‌دیم
پاسخ مشخصی نداریم,جواب مشخصی نیست
باید منابع بیشتری بررسی شود,باید منابع بیشتری ببینیم
اطلاعات کامل نیست,اطلاعاتمون ناقصه
در حال حاضر تغییری نداریم,فعلاً تغییری نیست
هنوز تصمیمی نگرفتیم,هنوز تصمیم نگرفتیم
فعلاً در اول راه هستیم,تازه شروع کردیم
در آینده نزدیک اجرا می‌شود,زودی اجراش می‌کنیم
موضوع به اطلاع خواهد رسید,بهت خبر می‌دیم
بررسی بیشتر نیاز دارد,بیشتر باید بررسی شه
در آینده نزدیک اطلاع‌رسانی می‌شود,به‌زودی خبر می‌دیم
تغییر در برنامه وجود دارد,برنامه عوض شده
باید صبر کنیم,باید منتظر بمونیم
در حال تصمیم‌گیری هستیم,داریم تصمیم می‌گیریم
این موضوع در حال پیگیری است,دارن دنبالش می‌کنن
فعلاً اجرا نشده,الان اجرا نشده
نیاز به راهنمایی داریم,باید کمک بگیریم
منتظر بازخورد هستیم,صبر کردیم ببینیم چی می‌گن
تصمیم نهایی گرفته نشده,هنوز معلوم نیست
باید برنامه‌ریزی شود,باید براش برنامه بریزیم
اطلاعات دقیق‌تری لازم داریم,باید جزئی‌تر بدونیم
منتظر تائید نهایی هستیم,منتظریم نهایی شه
در زمان مقرر انجام می‌شود,سر وقت انجامش می‌دیم
باید با تیم هماهنگ شویم,باید با گروه هماهنگ کنیم
فعلاً خبری نیست,فعلاً چیزی نشده
تصمیم نهایی به‌زودی اعلام می‌شود,زود می‌فهمی چی شد
راهکار جایگزین ارائه خواهد شد,یه راه دیگه می‌دیم
در دست اقدام است,دارن انجامش می‌دن
نیاز به بازبینی دارد,باید دوباره نگاهش کنیم
تغییراتی در راه است,یه سری چیزا قراره عوض شه
بررسی‌های اولیه انجام شده,اولش رو بررسی کردیم
فعلاً غیرممکن است,فعلاً نمی‌شه
اطلاعات کافی نداریم,کم می‌دونیم
در حال ثبت است,دارن ثبتش می‌کنن
نیاز به اصلاح دارد,باید درستش کنیم
فعلاً منتظر پاسخ هستیم,صبر می‌کنیم ببینیم چی می‌گن
باید تصمیم‌گیری شود,باید تصمیم بگیریم
به‌زودی اطلاع داده می‌شود,زودی می‌فهمی
فرآیند در حال تکمیل است,داره کامل می‌شه
در حال گردآوری داده هستیم,داریم دیتا جمع می‌کنیم
فعلاً تغییری نکرده,الان همونه
اطلاع‌رسانی متعاقباً انجام می‌شود,بعداً بهت می‌گیم
نیاز به تأیید دارد,باید تأییدش کنیم
در مرحله بررسی است,توی بررسیه
همکاری لازم است,باید همکاری کنیم
این مورد در دستور کار است,برنامه‌ش هست
تغییرات لازم اعمال خواهد شد,هر چی لازمه عوض می‌شه
باید منتظر پاسخ نهایی باشیم,منتظریم ببینیم چی می‌گن
فرآیند تأیید طول می‌کشد,تأییدش یه کم طول می‌کشه
اطلاع‌رسانی تکمیلی خواهد شد,بعداً بیشتر توضیح می‌دیم
در مرحله نهایی قرار دارد,آخرشه دیگه
در حال حاضر محدودیت داریم,الان یه سری محدودیت هست
به‌روزرسانی انجام شده است,آپدیتش کردیم
فعلاً نمی‌توانیم اقدام کنیم,الان نمی‌تونیم کاری کنیم
پاسخ در حال آماده‌سازی است,داریم جواب می‌نویسیم
این مورد بررسی خواهد شد,چکش می‌کنیم
تصمیم به‌زودی اتخاذ خواهد شد,زود تصمیم می‌گیریم
در صف بررسی قرار دارد,توی صف بررسیه
توضیحات بیشتری لازم است,بیشتر باید توضیح بدی
باید با مقام مسئول مشورت شود,باید از بالا اجازه بگیریم
در حال تنظیم هستیم,داریم می‌چینیم
در مرحله تست هستیم,داریم امتحانش می‌کنیم
منتظر تصویب نهایی هستیم,صبر کردیم تصویب شه
تغییرات اعمال خواهد شد,چیزا عوض می‌شن
نیاز به هماهنگی با بخش دیگر دارد,باید با اون بخش هماهنگ شیم
پیشنهاد مورد بررسی قرار خواهد گرفت,پیشنهادتو می‌سنجیم
این موضوع جدید است و زمان‌بر خواهد بود,جدیده، وقت می‌بره
موانعی وجود دارد که باید رفع شوند,یه سری مشکل هست که باید حل کنیم
پروژه در حال پیشرفت است,داره جلو می‌ره
فعلاً نمی‌توان اطلاعات بیشتری داد,الان بیشتر نمی‌تونم بگم
موضوع در مرحله اول بررسی است,اول راهشه
پیشنهاد شما در حال بررسی است,داریم نگاهش می‌کنیم
باید منتظر بازخوردها باشیم,بذار ببینیم بقیه چی می‌گن
این اقدام در برنامه آینده است,بعداً انجامش می‌دیم
در حال نهایی‌سازی هستیم,داریم تمومش می‌کنیم
ممکن است کمی زمان ببرد,شاید یه کم طول بکشه
پیشنهاد در حال بررسی تخصصی است,دارن حرفه‌ای بررسی می‌کنن
نیاز به تحلیل دقیق دارد,باید دقیق تحلیل شه
در حال تهیه اسناد هستیم,داریم کاغذبازی می‌کنیم
در حال تنظیم زمان‌بندی هستیم,داریم زمانشو مشخص می‌کنیم
مشکلات فنی وجود دارد,یه سری مشکل فنی داریم
پاسخ رسمی در راه است,زود جواب رسمی میاد
مستندسازی لازم است,باید مدرک داشته باشیم
در حال گفتگو با ذینفعان هستیم,داریم با ذی‌نفعا حرف می‌زنیم
در حال تکمیل اطلاعات هستیم,داریم اطلاعات رو کامل می‌کنیم
نیاز به ارزیابی دارد,باید ارزیابیش کنیم
در حال بررسی جنبه‌های مختلف هستیم,داریم همه چیز رو بررسی می‌کنیم
باید پیگیری نمایید,باید پیگیری کنی
از همکاری شما سپاسگزاریم,مرسی که همکاری کردی
توضیح بیشتری نیاز است,بیشتر توضیح بده
در حال بررسی جوانب مختلف هستیم,داریم همه‌چیز رو بررسی می‌کنیم
پروژه به تعویق افتاده است,پروژه عقب افتاده
پاسخگویی در حال انجام است,دارن جواب می‌دن
اطلاعات به‌زودی منتشر خواهد شد,به‌زودی اطلاعاتو می‌دیم
برنامه اجرایی تنظیم شده است,برنامه رو چیدیم
این گزینه در حال ارزیابی است,داریم بررسیش می‌کنیم
به زودی نتیجه اعلام خواهد شد,زود می‌فهمی چی شد
ارتباط برقرار شده است,وصل شدیم
در مرحله جمع‌بندی هستیم,داریم جمع‌بندیش می‌کنیم
نیاز به تایید نهایی وجود دارد,باید نهایی شه
درخواست شما ثبت شد,درخواستت ثبت شد
در حال حاضر پاسخ قطعی وجود ندارد,الان جواب قطعی نداریم
این فرایند در دست انجام است,دارن روش کار می‌کنن
مشکلات شناسایی شده‌اند,مشکلا رو پیدا کردیم
در حال تهیه گزارش هستیم,داریم گزارش می‌نویسیم
به محض نهایی شدن اطلاع‌رسانی می‌شود,همین که تموم شه می‌گیم
این موضوع نیاز به هماهنگی دارد,باید هماهنگ شه
تصمیم نهایی توسط مدیریت گرفته می‌شود,باید مدیر تصمیم بگیره
باید از طریق سیستم اقدام شود,از راه سیستم باید بری
در حال حاضر بررسی در جریان است,الان داریم بررسی می‌کنیم
نمی‌توان تاریخ دقیق اعلام کرد,نمی‌دونیم دقیقاً کی
موضوع در اولویت قرار دارد,اولویته
همچنان در حال پیگیری هستیم,داریم دنبالش می‌کنیم
در حال بررسی مشکلات هستیم,داریم مشکلاتو چک می‌کنیم
موضوع به واحد مربوطه ارجاع داده شد,فرستادیم براشون
فعلاً منتظر پاسخ واحد مربوطه هستیم,داریم صبر می‌کنیم جواب بدن
این موضوع نیازمند بررسی بیشتر است,بیشتر باید بررسی شه
توضیحات کافی نیست,کمه توضیحت
در صورت بروز مشکل اطلاع دهید,اگه مشکلی شد خبر بده
هماهنگی‌های لازم انجام خواهد شد,هماهنگ می‌کنیم
در زمان مقتضی اجرا خواهد شد,سر فرصت اجرا می‌کنیم
برنامه تغییر کرده است,برنامه عوض شده
فعلاً در دسترس نیست,الان نیستش
باید اطلاعات تکمیل شود,باید کاملش کنیم
نظرات شما بررسی خواهد شد,حرفت رو چک می‌کنیم
این موضوع نیاز به پیگیری مستمر دارد,باید دائم دنبالش باشی
اطلاعات کافی ارسال نشده است,اطلاعاتت ناقصه
باید فرم را تکمیل کنید,فرمو پر کن
درخواست در حال پردازش است,داریم بررسیش می‌کنیم
تا اطلاع ثانوی متوقف شده است,فعلاً متوقف شده
باید توسط مسئول مربوطه تایید شود,باید اون تایید کنه
در حال حاضر امکان‌پذیر نیست,الان نمی‌شه
فرایند زمان‌بر است,زمان می‌بره
در دست بررسی فنی است,دارن فنی بررسیش می‌کنن
فعلاً در صف انتظار هست,تو صفه
منتظر دستور بالادستی هستیم,داریم از بالا دستور می‌گیریم
بررسی اولیه مثبت بوده است,اولش خوب بوده
پیشنهاد شما در نظر گرفته خواهد شد,حواسمون به پیشنهادت هست
در حال بررسی و ارزیابی می‌باشد,داریم می‌سنجیمش
تغییرات به‌زودی اعمال می‌شود,زودی تغییرش می‌دیم
با توجه به شرایط موجود اقدام می‌شود,بسته به شرایط عمل می‌کنیم
همچنان ادامه دارد,هنوز ادامه داره
فعلاً امکان پاسخگویی نیست,الان نمی‌تونیم جواب بدیم
درخواست شما رد شده است,درخواستت رد شده
نتیجه پس از بررسی اعلام خواهد شد,بعد بررسی می‌گیم چی شد
در حال برنامه‌ریزی هستیم,داریم برنامه می‌ریزیم
باید موضوع را بررسی کنیم,باید چکش کنیم
مراحل انجام شده است,کاراش انجام شده
در حال مکاتبه با بخش مربوطه هستیم,داریم نامه‌نگاری می‌کنیم
مورد تایید قرار نگرفت,قبول نشد
در دسترس نخواهد بود,دستت بهش نمی‌رسه
از طریق سیستم پیگیری کنید,از راه سیستم برو
پیگیری ادامه دارد,داریم ادامه می‌دیم
باید دوباره اقدام کنید,دوباره باید بری جلو
ثبت‌نام انجام نشده است,ثبت‌نام نکردی
به دلیل ناهماهنگی انجام نشد,چون هماهنگ نبود نشد
باید به‌روزرسانی شود,باید آپدیت شه
اطلاع‌رسانی انجام شده است,بهت گفته شده
در حال حاضر کافی نیست,کمه الان
تاییدیه دریافت نشده است,تایید نگرفتیم
در حال بررسی نهایی هستیم,داریم نهایی می‌کنیم
از طریق ایمیل اطلاع داده خواهد شد,ایمیل می‌زنیم
منتظر بازخورد نهایی هستیم,صبر کردیم آخرش رو بدونیم
این موضوع در دست اقدام قرار گرفت,شروع کردیم به انجامش
باید اسناد لازم فراهم شود,باید مدارک آماده شه
در حال حاضر راهکاری وجود ندارد,فعلاً راهی نداریم
باید بیشتر بررسی شود,بیشتر باید بررسی شه
در حال ارتباط با سایر بخش‌ها هستیم,با بقیه داریم حرف می‌زنیم
درخواست در سیستم ثبت شد,تو سیستم ثبت شد
این اطلاعات کافی نیستند,کمه اینا
پیش‌نیازها فراهم نشده‌اند,هنوز مقدماتش آماده نیست
فعلاً برنامه‌ای وجود ندارد,الان برنامه‌ای نداریم
پاسخ از سوی مدیر داده خواهد شد,مدیر می‌گه چی شد
در صورت هرگونه تغییر اطلاع داده خواهد شد,اگه چیزی عوض شد بهت می‌گیم
باید تغییرات اعمال شود,باید یه چیزایی رو عوض کنیم
فرآیند ارسال با موفقیت انجام شد,فرستادیمش
نیاز به پشتیبانی دارید,باید یکی کمکت کنه
در حال بررسی مدارک هستیم,داریم مدرکارو نگاه می‌کنیم
اطلاعات شما ذخیره شد,اطلاعاتتو ذخیره کردیم
تغییرات ذخیره نشدند,عوضیا سیو نشدن
ثبت نهایی انجام نشده است,ثبت نهایی نشده
درخواست شما بررسی شد,نگاهش کردیم
در حال بارگذاری است,داره لود می‌شه
دسترسی محدود شده است,دسترسی نداری فعلاً
باید مجدداً امتحان کنید,دوباره امتحان کن
فعلاً قابل انجام نیست,الان نمی‌تونیم انجامش بدیم
اطلاعات ارسال نشده‌اند,اطلاعات نرسیده
ثبت‌نام کامل نیست,ثبت‌نامت ناقصه
نیاز به پیوست مدارک دارید,باید مدرک ضمیمه کنی
پاسخ شما دریافت شد,جوابت رسید
در حال حاضر غیرفعال است,فعلاً خاموشه
امکان ورود وجود ندارد,نمی‌تونی وارد شی
اطلاعات تکمیلی دریافت نشد,جزئیات نیومده
در حال انتظار تایید هستیم,منتظریم تایید شه
موضوع به مدیریت ارجاع شده است,فرستادیم پیش مدیر
پاسخ در اسرع وقت داده می‌شود,زود جواب می‌دیم
نیازمند بررسی کارشناسی است,باید یه کارشناس چکش کنه
امکان پاسخگویی در حال حاضر وجود ندارد,الان نمی‌تونم جواب بدم
مورد تأیید قرار گرفته است,قبولش کردن
محدودیت‌هایی وجود دارد,یه‌سری محدودیت هست
زمان اجرای پروژه مشخص نیست,نمی‌دونیم کی پروژه شروع می‌شه
درخواست شما در صف پردازش است,درخواستی که دادی توی نوبته
لطفاً صبر نمایید,یه لحظه صبر کن
در حال بررسی بودجه هستیم,داریم بودجه رو بررسی می‌کنیم
اطلاعات بیشتر ارسال خواهد شد,بیشترشو برات می‌فرستیم
پیگیری از طرف شما الزامی است,باید خودت پیگیرش باشی
در حال نهایی‌سازی تصمیم هستیم,داریم تصمیم نهایی می‌گیریم
این گزینه هنوز فعال نشده است,این گزینه هنوز روشن نیست
امکان استفاده در حال حاضر نیست,الان نمی‌تونی استفاده کنی
نتیجه بررسی به زودی اعلام خواهد شد,زود می‌گیم چی شد
ارائه توضیحات الزامی است,باید یه توضیح بدی
فقط از طریق فرم اقدام نمایید,فقط با فرم باید انجامش بدی
این مورد شامل تغییرات نمی‌شود,تغییری روش اعمال نمی‌شه
در اسرع وقت رسیدگی خواهد شد,زود بهش رسیدگی می‌شه
باید از طریق مراجع ذی‌صلاح اقدام شود,باید از طریق جای درستش بری
لطفاً تا زمان اعلام نتیجه منتظر بمانید,صبر کن تا بگیم چی شد
در حال تکمیل مستندات هستیم,داریم مدارکو کامل می‌کنیم
ارزیابی در مراحل پایانی است,آخرای بررسیشه
درخواست شما معتبر نیست,درخواستت درست نیست
مدارک کافی ارائه نشده‌اند,مدارک ناقصه
امکان بررسی سریع وجود ندارد,نمی‌تونیم زود بررسیش کنیم
باید اطلاعات اصلاح شود,باید اطلاعاتتو درست کنی
در حال حاضر نمی‌توان اقدام کرد,الان نمی‌شه کاری کرد
تغییر در زمان‌بندی ایجاد شده است,زمانش عوض شده
پیشنهاد شما مفید بود,پیشنهادت به درد خورد
تا اطلاع بعدی در حالت تعلیق است,فعلاً متوقفه
تصمیم‌گیری نهایی به‌زودی انجام می‌شود,زود مشخص می‌شه
باید از طریق سامانه مربوطه اقدام شود,از همون سایت باید بری
امکان دسترسی عمومی وجود ندارد,همه نمی‌تونن وارد شن
در حال دریافت بازخورد هستیم,داریم نظرها رو می‌گیریم
موضوع به واحد فنی منتقل شده است,دادیمش بخش فنی
فعلاً نیاز به اقدام نیست,الان کاری لازم نیست
در حال تست نهایی هستیم,داریم تست آخر رو می‌گیریم
نتیجه قطعی نشده است,هنوز مشخص نیست
باید منتظر تأیید نهایی باشیم,باید تایید آخر رو بگیریم
درخواست قبلاً ثبت شده است,قبلاً ثبتش کردی
نیازمند بررسی بیشتر توسط تیم فنی است,باید بچه‌های فنی دوباره نگاه کنن
امکان مشاهده وجود ندارد,نمی‌تونی ببینی
در حال به‌روزرسانی سیستم هستیم,داریم سیستمو آپدیت می‌کنیم
پیشنهاد شما در حال بررسی است,دارن به پیشنهادت فکر می‌کنن
مشکل فنی رخ داده است,یه مشکل فنی پیش اومده
مورد به زودی حل خواهد شد,زود درستش می‌کنیم
باید ثبت‌نام مجدد انجام شود,دوباره باید ثبت‌نام کنی
اطلاعات وارد شده صحیح نیست,اطلاعات اشتباهه
به دلیل خطای سیستم انجام نشد,سیستم خراب بود
در حال بازیابی اطلاعات هستیم,داریم اطلاعات رو برمی‌گردونیم
منتظر تماس پشتیبانی باشید,پشتیبانی بهت زنگ می‌زنه
درخواست شما تکمیل نشده است,درخواستت ناقصه
به دلیل نقص مدارک رد شد,چون مدرکات کامل نبود رد شد
در حال دریافت اطلاعات تکمیلی هستیم,داریم جزئیات بیشتری می‌گیریم
مدارک باید بارگذاری شوند,باید مدرکاتو آپلود کنی
موضوع در حال بررسی حقوقی است,دارن از نظر قانونی نگاهش می‌کنن
پاسخ نهایی اعلام شده است,جواب قطعی رو دادیم
در حال حاضر امکان اجرای پروژه نیست,فعلاً نمی‌تونیم پروژه رو شروع کنیم
تأییدیه به‌زودی ارسال می‌شود,تاییدیه رو زودی می‌فرستیم
خطا در سیستم رخ داده است,سیستم خراب شده
نیاز به ویرایش اطلاعات است,باید اصلاحش کنی
باید با واحد مربوطه تماس بگیرید,با همون بخش زنگ بزن
پیشرفت پروژه رضایت‌بخش است,پروژه داره خوب پیش می‌ره
گزارش نهایی آماده شده است,گزارشو نوشتیم
پیشنهاد شما ثبت شد,پیشنهادتو ثبت کردیم
باید مدارک را ارسال نمایید,مدرکاتو بفرست
تاییدیه برای شما ارسال شد,تایید رو فرستادیم
این بخش هنوز فعال نیست,این قسمت هنوز کار نمی‌کنه
در حال تحلیل داده‌ها هستیم,داریم دیتاها رو بررسی می‌کنیم
درخواست شما مورد تأیید قرار نگرفت,درخواستت رد شد
لطفاً اطلاعات تکمیلی وارد نمایید,بیشتر اطلاعات بده
در حال بررسی نواقص هستیم,داریم اشکالا رو نگاه می‌کنیم
در حال ارسال فایل‌ها هستیم,داریم فایلا رو می‌فرستیم
مدارک به زودی بررسی خواهند شد,زودی مدرکاتو می‌بینیم
امکان انجام سریع وجود ندارد,نمی‌تونیم زود انجام بدیم
در حال بارگذاری فایل‌ها هستیم,داریم فایلا رو آپلود می‌کنیم
خطا هنگام بارگذاری رخ داد,اپلودش با خطا خورد
درخواست در مرحله نهایی است,رسیده به آخر کار
گزارش اولیه آماده شده است,گزارش اولی رو نوشتیم
در حال دریافت تاییدیه هستیم,منتظر تاییدیم
فعال‌سازی با موفقیت انجام شد,روشنش کردیم
اطلاعات بررسی و ذخیره شد,چک کردیم و سیوش کردیم
درخواست شما توسط سیستم رد شده است,سیستم نپذیرفت
در حال تنظیم نهایی هستیم,داریم نهایی‌اش می‌کنیم
نیاز به بارگذاری دوباره وجود دارد,باید دوباره بذاری
فرآیند تایید در حال انجام است,دارن تاییدش می‌کنن
اطلاعات شما قابل تایید نیست,نمی‌تونیم تاییدش کنیم
باید جزئیات بیشتری ارائه شود,بیشتر توضیح بده
در حال بررسی درخواست مشابه هستیم,یه درخواست مثل اینو داریم می‌بینیم
امکان انجام آن وجود ندارد,نمی‌شه انجامش داد
در حال حاضر این بخش غیرفعال است,فعلاً این قسمت کار نمی‌کنه
باید منتظر پاسخ بخش فنی باشیم,فنی باید جواب بده
در حال نهایی‌سازی مدارک هستیم,داریم مدرکارو نهایی می‌کنیم
اطلاعات وارد شده تکراری است,قبلاً اینو دادی
تغییرات ثبت نشدند,عوضیا ذخیره نشد
در حال دریافت مجوز هستیم,داریم مجوزشو می‌گیریم
خطای نامشخصی رخ داده است,نمی‌دونیم چی شد
گزارش با موفقیت ثبت شد,گزارشو ثبت کردیم
درخواست شما به نتیجه نرسید,به جایی نرسید
فعلاً امکان تغییر نیست,الان نمی‌تونی عوضش کنی
باید از نو تنظیم شود,باید از اول بچینی
در حال بررسی سوابق هستیم,داریم گذشته‌شو نگاه می‌کنیم
درخواست پذیرفته نشده است,رد شدی
گزارش نهایی ارسال شد,گزارش آخر فرستاده شد
در حال تنظیم پاسخ هستیم,داریم جواب می‌نویسیم
اطلاعات ثبت شده حذف شد,پاکش کردیم
در حال پردازش نهایی اطلاعات هستیم,داریم آخرشو بررسی می‌کنیم
درخواست شما معتبر تشخیص داده نشد,درست نبود درخواستت
لطفاً فرم مربوطه را تکمیل کنید,اون فرم رو پر کن
پاسخ نهایی به زودی اعلام می‌شود,زودی بهت خبر می‌دیم
مدارک جدید نیاز است,مدرکای بیشتری می‌خوایم
امکان بررسی بیشتر وجود ندارد,دیگه نمی‌تونیم بررسی کنیم
در حال حاضر پردازش نمی‌شود,الان بررسی نمی‌شه
پیشنهاد شما مفید واقع نشد,به دردمون نخورد
اطلاعات وارد شده تکراری است, قبلاً اینو دادی
تغییرات ثبت نشدند, عوضیا ذخیره نشد
در حال دریافت مجوز هستیم, داریم مجوزشو می‌گیریم
عملیات با موفقیت انجام شد, کارمون تمومه
خطایی در سیستم رخ داده, ارور داد
درخواست شما رد شد, قبولت نکردن
پرداخت ناموفق بود, پول کم نیومد
فایل با موفقیت آپلود شد, آپلود تمومه
امکان دسترسی وجود ندارد, نمیشه وارد شد
